Z,N,BindingEnergy
1,1,2.224579
1,2,8.481825
1,3,5.57946
1,4,2.742982
1,5,5.784234
2,1,7.718078
2,2,28.2957
2,3,27.409072
2,4,29.269096
2,5,28.824789
2,6,31.407745
2,7,30.259135
2,8,30.338235
3,1,4.620257
3,2,26.328657
3,3,31.995419
3,4,39.244603
3,5,41.277326
3,6,45.340986
3,7,45.315852
3,8,45.641797
3,9,44.413079
4,2,26.923923
4,3,37.600448
4,4,56.499563
4,5,58.164988
4,6,64.977302
4,7,65.480883
4,8,68.64975
4,9,68.14294
4,10,69.982564
5,2,24.717253
5,3,37.737884
5,4,56.314506
5,5,64.750788
5,6,76.204831
5,7,79.575273
5,8,84.453245
5,9,85.423133
5,10,88.191457
5,11,88.146668
5,12,89.585749
5,13,89.050063
5,14,90.079286
6,2,24.782498
6,3,39.034192
6,4,60.320625
6,5,73.439994
6,6,92.161837
6,7,97.108157
6,8,105.284586
6,9,106.502613
6,10,110.753224
6,11,111.481575
6,12,115.662976
6,13,115.82591
6,14,119.174555
6,15,118.843797
6,16,120.292193
7,3,35.536565
7,4,58.344128
7,5,74.041408
7,6,94.105366
7,7,104.658727
7,8,115.49196
7,9,117.981366
7,10,123.86498
7,11,126.690125
7,12,132.018196
7,13,134.181048
7,14,138.787211
7,15,140.012048
7,16,142.429199
7,17,141.194891
8,4,58.549097
8,5,75.558108
8,6,98.733341
8,7,111.955725
8,8,127.61945
8,9,131.762774
8,10,139.807268
8,11,143.762596
8,12,151.370778
8,13,155.176973
8,14,162.02338
8,15,164.766553
8,16,168.478481
8,17,168.380597
8,18,168.431751
9,5,72.34915
9,6,97.252576
9,7,111.419597
9,8,128.219729
9,9,137.369293
9,10,147.801487
9,11,154.402799
9,12,162.50432
9,13,167.73449
9,14,175.273928
9,15,179.12558
9,16,183.480239
9,17,184.528093
9,18,185.836765
9,19,185.729566
9,20,186.730845
10,6,97.325273
10,7,112.901645
10,8,132.153601
10,9,143.780717
10,10,160.644995
10,11,167.40611
10,12,177.770054
10,13,182.970668
