Z,N,A,B_k_p,B_k_n,B_k_tot,dB_k,f_p,f_n,partial_idx,S_dom,coul_idx,BindingEnergy,E_exp,E_pred,Residual
1,1,2,0,0,0,0,0.5,0.5,0.5,1,0.0,2.224579,2.224579,9.246037992026979,7.021458992026979
1,2,3,0,0,0,0,0.5,1.0,1.25,1,0.0,8.481825,8.481825,5.416263430422539,-3.0655615695774614
1,3,4,0,1,1,-1,0.5,0.16666666666666666,0.2777777777777778,2,0.0,5.57946,5.57946,30.68854367722952,25.10908367722952
1,4,5,0,2,2,-2,0.5,0.3333333333333333,0.3611111111111111,2,0.0,2.742982,2.742982,38.11603752462088,35.37305552462088
1,5,6,0,3,3,-3,0.5,0.5,0.5,2,0.0,5.784234,5.784234,44.60433208783246,38.82009808783246
2,1,3,0,0,0,0,1.0,0.5,1.25,1,2.0,7.718078,7.718078,5.81909592488045,-1.8989820751195499
2,2,4,0,0,0,0,1.0,1.0,2.0,1,2.0,28.2957,28.2957,1.9893213632760123,-26.306378636723988
2,3,5,0,1,1,-1,1.0,0.16666666666666666,1.0277777777777777,2,1.0,27.409072,27.409072,27.06018536285404,-0.34888663714595936
2,4,6,0,2,2,-2,1.0,0.3333333333333333,1.1111111111111112,2,1.0,29.269096,29.269096,34.48767921024539,5.218583210245388
2,5,7,0,3,3,-3,1.0,0.5,1.25,2,1.0,28.824789,28.824789,40.97597377345697,12.151184773456972
2,6,8,0,4,4,-4,1.0,0.6666666666666666,1.4444444444444444,2,1.0,31.407745,31.407745,46.52506905248879,15.11732405248879
2,7,9,0,5,5,-5,1.0,0.8333333333333334,1.6944444444444446,2,1.0,30.259135,30.259135,51.13496504734084,20.87583004734084
2,8,10,0,6,6,-6,1.0,1.0,2.0,2,1.0,30.338235,30.338235,54.80566175801311,24.467426758013108
3,1,4,1,0,1,1,0.16666666666666666,0.5,0.2777777777777778,2,3.0,4.620257,4.620257,31.068257385596734,26.448000385596735
3,2,5,1,0,1,1,0.16666666666666666,1.0,1.0277777777777777,2,3.0,26.328657,26.328657,27.2384828239923,0.9098258239922998
3,3,6,1,1,2,0,0.16666666666666666,0.16666666666666666,0.05555555555555555,2,3.0,31.995419,31.995419,52.51076307079928,20.51534407079928
3,4,7,1,2,3,-1,0.16666666666666666,0.3333333333333333,0.1388888888888889,2,3.0,39.244603,39.244603,59.93825691819063,20.693653918190634
3,5,8,1,3,4,-2,0.16666666666666666,0.5,0.2777777777777778,2,3.0,41.277326,41.277326,66.42655148140221,25.149225481402212
3,6,9,1,4,5,-3,0.16666666666666666,0.6666666666666666,0.4722222222222222,2,3.0,45.340986,45.340986,71.97564676043403,26.63466076043403
3,7,10,1,5,6,-4,0.16666666666666666,0.8333333333333334,0.7222222222222223,2,3.0,45.315852,45.315852,76.58554275528607,31.26969075528607
3,8,11,1,6,7,-5,0.16666666666666666,1.0,1.0277777777777777,2,3.0,45.641797,45.641797,80.25623946595834,34.61444246595835
3,9,12,1,10,11,-9,0.16666666666666666,0.1,0.03777777777777778,3,2.0,44.413079,44.413079,105.58827823298957,61.17519923298956
4,2,6,2,0,2,2,0.3333333333333333,1.0,1.1111111111111112,2,6.0,26.923923,26.923923,35.045690379750866,8.121767379750867
4,3,7,2,1,3,1,0.3333333333333333,0.16666666666666666,0.1388888888888889,2,6.0,37.600448,37.600448,60.317970626557845,22.717522626557844
4,4,8,2,2,4,0,0.3333333333333333,0.3333333333333333,0.2222222222222222,2,6.0,56.499563,56.499563,67.7454644739492,11.245901473949196
4,5,9,2,3,5,-1,0.3333333333333333,0.5,0.3611111111111111,2,6.0,58.164988,58.164988,74.2337590371608,16.068771037160793
4,6,10,2,4,6,-2,0.3333333333333333,0.6666666666666666,0.5555555555555556,2,6.0,64.977302,64.977302,79.7828543161926,14.805552316192603
4,7,11,2,5,7,-3,0.3333333333333333,0.8333333333333334,0.8055555555555556,2,6.0,65.480883,65.480883,84.39275031104464,18.91186731104463
4,8,12,2,6,8,-4,0.3333333333333333,1.0,1.1111111111111112,2,6.0,68.64975,68.64975,88.06344702171691,19.413697021716914
4,9,13,2,10,12,-8,0.3333333333333333,0.1,0.12111111111111111,3,4.0,68.14294,68.14294,113.19406954151918,45.05112954151919
4,10,14,2,14,16,-12,0.3333333333333333,0.2,0.1511111111111111,3,4.0,69.982564,69.982564,121.48382569823877,51.50126169823878
5,2,7,3,0,3,3,0.5,1.0,1.25,2,10.0,24.717253,24.717253,42.115114898558616,17.397861898558617
5,3,8,3,1,4,2,0.5,0.16666666666666666,0.2777777777777778,2,10.0,37.737884,37.737884,67.3873951453656,29.6495111453656
5,4,9,3,2,5,1,0.5,0.3333333333333333,0.3611111111111111,2,10.0,56.314506,56.314506,74.81488899275696,18.50038299275696
5,5,10,3,3,6,0,0.5,0.5,0.5,2,10.0,64.750788,64.750788,81.30318355596853,16.55239555596853
5,6,11,3,4,7,-1,0.5,0.6666666666666666,0.6944444444444444,2,10.0,76.204831,76.204831,86.85227883500035,10.64744783500035
5,7,12,3,5,8,-2,0.5,0.8333333333333334,0.9444444444444445,2,10.0,79.575273,79.575273,91.46217482985239,11.886901829852391
5,8,13,3,6,9,-3,0.5,1.0,1.25,2,10.0,84.453245,84.453245,95.13287154052468,10.67962654052468
5,9,14,3,10,13,-7,0.5,0.1,0.26,3,6.666666666666667,85.423133,85.423133,119.99493906402165,34.571806064021644
5,10,15,3,14,17,-11,0.5,0.2,0.29000000000000004,3,6.666666666666667,88.191457,88.191457,128.28469522074124,40.09323822074124
5,11,16,3,18,21,-15,0.5,0.3,0.33999999999999997,3,6.666666666666667,88.146668,88.146668,136.23633963515613,48.08967163515612
5,12,17,3,22,25,-19,0.5,0.4,0.41000000000000003,3,6.666666666666667,89.585749,89.585749,143.8498723072663,54.2641233072663
5,13,18,3,26,29,-23,0.5,0.5,0.5,3,6.666666666666667,89.050063,89.050063,151.12529323707176,62.075230237071764
5,14,19,3,30,33,-27,0.5,0.6,0.61,3,6.666666666666667,90.079286,90.079286,158.06260242457248,67.98331642457248
6,2,8,4,0,4,4,0.6666666666666666,1.0,1.4444444444444444,2,15.0,24.782498,24.782498,48.44675638041556,23.664258380415557
6,3,9,4,1,5,3,0.6666666666666666,0.16666666666666666,0.4722222222222222,2,15.0,39.034192,39.034192,73.71903662722255,34.68484462722255
6,4,10,4,2,6,2,0.6666666666666666,0.3333333333333333,0.5555555555555556,2,15.0,60.320625,60.320625,81.1465304746139,20.825905474613897
6,5,11,4,3,7,1,0.6666666666666666,0.5,0.6944444444444444,2,15.0,73.439994,73.439994,87.63482503782546,14.194831037825466
6,6,12,4,4,8,0,0.6666666666666666,0.6666666666666666,0.8888888888888888,2,15.0,92.161837,92.161837,93.1839203168573,1.022083316857291
6,7,13,4,5,9,-1,0.6666666666666666,0.8333333333333334,1.1388888888888888,2,15.0,97.108157,97.108157,97.79381631170935,0.6856593117093439
6,8,14,4,6,10,-2,0.6666666666666666,1.0,1.4444444444444444,2,15.0,105.284586,105.284586,101.46451302238161,-3.820072977618395
6,9,15,4,10,14,-6,0.6666666666666666,0.1,0.45444444444444443,3,10.0,106.502613,106.502613,125.990886800497,19.488273800496998
6,10,16,4,14,18,-10,0.6666666666666666,0.2,0.48444444444444446,3,10.0,110.753224,110.753224,134.2806429572166,23.527418957216597
6,11,17,4,18,22,-14,0.6666666666666666,0.3,0.5344444444444444,3,10.0,111.481575,111.481575,142.2322873716315,30.75071237163148
6,12,18,4,22,26,-18,0.6666666666666666,0.4,0.6044444444444445,3,10.0,115.662976,115.662976,149.84582004374167,34.18284404374167
6,13,19,4,26,30,-22,0.6666666666666666,0.5,0.6944444444444444,3,10.0,115.82591,115.82591,157.1212409735471,41.295330973547095
6,14,20,4,30,34,-26,0.6666666666666666,0.6,0.8044444444444444,3,10.0,119.174555,119.174555,164.05855016104783,44.883995161047835
6,15,21,4,34,38,-30,0.6666666666666666,0.7,0.9344444444444444,3,10.0,118.843797,118.843797,170.65774760624384,51.81395060624385
6,16,22,4,38,42,-34,0.6666666666666666,0.8,1.0844444444444445,3,10.0,120.292193,120.292193,176.9188333091351,56.6266403091351
7,3,10,5,1,6,4,0.8333333333333334,0.16666666666666666,0.7222222222222223,2,21.0,35.536565,35.536565,79.31289507212867,43.776330072128665
7,4,11,5,2,7,3,0.8333333333333334,0.3333333333333333,0.8055555555555556,2,21.0,58.344128,58.344128,86.74038891952,28.396260919520003
7,5,12,5,3,8,2,0.8333333333333334,0.5,0.9444444444444445,2,21.0,74.041408,74.041408,93.2286834827316,19.187275482731593
7,6,13,5,4,9,1,0.8333333333333334,0.6666666666666666,1.1388888888888888,2,21.0,94.105366,94.105366,98.77777876176341,4.672412761763411
7,7,14,5,5,10,0,0.8333333333333334,0.8333333333333334,1.388888888888889,2,21.0,104.658727,104.658727,103.38767475661545,-1.2710522433845455
7,8,15,5,6,11,-1,0.8333333333333334,1.0,1.6944444444444446,2,21.0,115.49196,115.49196,107.05837146728771,-8.433588532712292
7,9,16,5,10,15,-5,0.8333333333333334,0.1,0.7044444444444445,3,14.0,117.981366,117.981366,131.18191275094523,13.200546750945236
7,10,17,5,14,19,-9,0.8333333333333334,0.2,0.7344444444444446,3,14.0,123.86498,123.86498,139.47166890766482,15.606688907664818
7,11,18,5,18,23,-13,0.8333333333333334,0.3,0.7844444444444445,3,14.0,126.690125,126.690125,147.4233133220797,20.733188322079712
7,12,19,5,22,27,-17,0.8333333333333334,0.4,0.8544444444444446,3,14.0,132.018196,132.018196,155.03684599418986,23.01864999418987
7,13,20,5,26,31,-21,0.8333333333333334,0.5,0.9444444444444445,3,14.0,134.181048,134.181048,162.3122669239953,28.131218923995306
7,14,21,5,30,35,-25,0.8333333333333334,0.6,1.0544444444444445,3,14.0,138.787211,138.787211,169.24957611149603,30.462365111496013
7,15,22,5,34,39,-29,0.8333333333333334,0.7,1.1844444444444444,3,14.0,140.012048,140.012048,175.84877355669204,35.836725556692045
7,16,23,5,38,43,-33,0.8333333333333334,0.8,1.3344444444444448,3,14.0,142.429199,142.429199,182.10985925958332,39.680660259583306
7,17,24,5,42,47,-37,0.8333333333333334,0.9,1.5044444444444447,3,14.0,141.194891,141.194891,188.03283322016992,46.83794222016991
8,4,12,6,2,8,4,1.0,0.3333333333333333,1.1111111111111112,2,28.0,58.549097,58.549097,91.59646432747533,33.04736732747533
8,5,13,6,3,9,3,1.0,0.5,1.25,2,28.0,75.558108,75.558108,98.08475889068691,22.52665089068691
8,6,14,6,4,10,2,1.0,0.6666666666666666,1.4444444444444444,2,28.0,98.733341,98.733341,103.63385416971872,4.900513169718721
8,7,15,6,5,11,1,1.0,0.8333333333333334,1.6944444444444446,2,28.0,111.955725,111.955725,108.24375016457076,-3.7119748354292454
8,8,16,6,6,12,0,1.0,1.0,2.0,2,28.0,127.61945,127.61945,111.91444687524304,-15.705003124756956
8,9,17,6,10,16,-4,1.0,0.1,1.01,3,18.666666666666668,131.762774,131.762774,135.56801691536631,3.805242915366307
